Género;Nombre;Apellido;Partido;Lista;Circunscripción
Varón;JOSÉ QUINTÍN;OLANO;Partido Nacional;88;Treinta y Tres
Varón;NICOLÁS;OLIVERA;Partido Nacional;Alianza Nacional - 2014;Paysandú
Varón;OPE;PASQUET;Partido Colorado;Vamos Uruguay - 10;Montevideo
Mujer;IVONNE;PASSADA;Frente Amplio;MPP - 609;Montevideo
Mujer;MARIELA;PELEGRÍN;Frente Amplio;Congreso Frenteamplista - 6009;Montevideo
Varón;GUSTAVO;PENADÉS;Partido Nacional;Herrerismo - 71;Montevideo
Varón;ADRIÁN;PEÑA;Partido Colorado;Vamos Uruguay - 10;Montevideo
Varón;DANIEL;PEÑA;Partido Nacional;Alianza Nacional - 2014;Canelones
Varón;ALBERTO;PERDOMO;Partido Nacional;Alianza Nacional - 2014;Canelones
Varón;ANÍBAL;PEREYRA;Frente Amplio;MPP - 90609;Rocha
Mujer;SUSANA;PEREYRA;Frente Amplio;MPP - 609;Montevideo
Varón;DARÍO;PÉREZ;Frente Amplio;Liga Federal - 1813;Maldonado
Varón;DANIEL;PLACERES;Frente Amplio;MPP - 609;Montevideo
Varón;IVÁN;POSADA;Partido Independiente;909;Montevideo
Varón;JORGE;POZZI;Frente Amplio;Nuevo Espacio - 99738;Montevideo
Varón;LUIS;PUIG;Frente Amplio;PVP - 3311;Montevideo
Varón;JOSÉ;QUEREJETA;Frente Amplio;Compromiso Frenteamplista - 711;Montevideo
Mujer;MABEL;QUINTELA;Partido Nacional;Todos - 88;Treinta y Tres
Varón;DANIEL;RADÍO;Partido Independiente;909;Canelones
Mujer;VALENTINA;RAPELA;Partido Colorado;Vamos Uruguay - 10;Montevideo
Varón;NIBIA;REISCH;Partido Colorado;Vamos Uruguay - 10;Colonia
Varón;CARLOS;REUTOR;Frente Amplio;MPP - 609;Canelones
Varón;SILVIO;RÍOS;Frente Amplio;997382121;Artigas
Varón;CARLOS;RODRÍGUEZ;Frente Amplio;6091001;Florida
Varón;EDGARDO;RODRÍGUEZ;Frente Amplio;MPP - 609;Tacuarembo
Varón;CONRADO;RODRÍGUEZ;Partido Colorado;Lista 15 - 15;Montevideo
Mujer;GLORIA;RODRÍGUEZ;Partido Nacional;Herrerismo - 71;Montevideo
Varón;NELSON;RODRÍGUEZ;Partido Nacional;23;Maldonado
Varón;EDMUNDO;ROSELLI;Partido Nacional;904;Colonia
Varón;EDUARDO;RUBIO;Unidad Popular;Movimiento 26 de Marzo - 326;Montevideo
Varón;JUAN;RUIZ;Frente Amplio;90810;Flores
Varón;SEBASTIÁN;SABINI;Frente Amplio;MPP - 609;Canelones
Varón;ALEJANDRO;SÁNCHEZ;Frente Amplio;MPP - 609;Montevideo
Mujer;BERTHA;SANSEVERINO;Frente Amplio;Asamblea Uruguay - 2121;Montevideo
Mujer;MERCEDES;SANTALLA;Frente Amplio;MPP - 609;Colonia
Varón;VÍCTOR;SEMPRONI;Frente Amplio;Congreso Frenteamplista - 6009;Montevideo
Varón;WASHINGTON;SILVERA;Frente Amplio;MPP - 609;Canelones
Varón;HERIBERTO;SOSA;Partido Independiente;909;Maldonado
Varón;MARTÍN;TIERNO;Frente Amplio;6091001;Durazno
Varón;HERMES;TOLEDO;Frente Amplio;Partido Socialista - 4090;Treinta y Tres
Varón;JAIME;TROBO;Partido Nacional;Herrerismo - 71;Montevideo
Varón;ALEJO;UMPIÉRREZ;Partido Nacional;Herrerismo - 71;Rocha
Varón;JAVIER;UMPIÉRREZ;Frente Amplio;90609;Lavalleja
Varón;CARLOS;VARELA;Frente Amplio;Asamblea Uruguay - 2121;Montevideo
Varón;WALTER;VERRI;Partido Colorado;Vamos Uruguay - 10;Paysandú
Varón;CARMELO;VIDALÍN;Partido Nacional;Aire Fresco - 404;Durazno
Mujer;STELLA;VIEL;Frente Amplio;Compromiso Frenteamplista - 711;Canelones
Varón;ÓSCAR;VIERA;Partido Nacional;88;Treinta y Tres
Varón;TABARÉ;VIERA;Partido Colorado;Foro Batllista - 2000;Rivera
Varón;JOSÉ;YURRAMENDI;Partido Nacional;Alianza Nacional - 3;Cerro Largo
Varón;ALEJANDRO;ZAVALA;Frente Amplio;Ir - 329;Montevideo
